id,vneg,neg,neu,pos,vpos
611,0,2,2,0,0
61104,0,2,2,0,0
61118,0,1,1,0,0
61272,0,0,1,1,0
61559,0,1,0,0,0
61660,0,2,0,0,0
61974,0,0,1,0,0
6272,0,2,2,0,0
62753,0,0,0,1,0
63070,0,0,1,0,0
63697,0,0,0,1,1
63811,0,0,1,0,0
64082,0,2,0,0,0
64300,0,0,1,0,0
64316,0,2,0,0,0
644,0,4,2,0,0
64407,0,2,0,0,0
6447,0,1,0,0,0
64751,0,1,1,0,0
65088,0,1,0,0,0
6555,0,0,1,0,0
65661,0,1,0,0,0
65869,0,3,1,0,0
67087,0,0,1,0,0
67301,0,0,1,3,0
68066,1,2,3,0,0
68136,0,1,0,0,0
68305,0,1,0,0,0
69146,0,2,0,0,0
69716,0,3,0,0,0
70014,0,1,0,0,0
70122,0,0,1,0,0
70265,0,1,0,0,0
70682,0,0,1,0,0
71085,0,1,0,0,0
71224,0,1,0,0,0
71371,1,2,0,0,0
722,0,7,0,1,0
72474,0,0,1,0,0
73133,0,0,1,0,0
73230,0,1,1,0,0
73415,0,0,2,0,0
7380,0,3,0,0,0
73819,0,0,0,2,0
73977,0,2,0,0,0
74032,0,2,0,2,0
74046,0,0,0,2,0
74301,0,0,1,1,0
74448,0,0,1,0,0
74491,0,1,1,0,0
7461,0,2,0,1,0
75082,0,1,1,0,0
75121,0,1,1,0,0
75490,0,0,0,1,0
75638,1,2,1,0,0
7577,0,0,1,1,0
75901,0,1,0,0,0
76244,0,1,0,0,0
76385,0,1,0,1,0
76425,0,0,1,0,0
76494,0,1,0,0,0
76631,0,0,1,0,0
76643,0,1,0,0,0
7665,0,0,0,1,0
77011,0,1,0,0,0
77424,0,1,0,0,0
77849,0,0,0,1,0
78211,0,0,1,0,0
78329,0,0,1,0,0
78759,0,0,1,1,0
79211,0,0,0,1,0
79309,0,0,1,0,0
79349,0,0,1,0,0
80577,0,0,1,0,0
80768,0,0,1,0,0
80924,0,1,0,1,0
8098,0,1,1,0,0
81122,0,0,1,0,0
81230,0,1,0,0,0
81302,0,1,0,0,0
8202,0,1,1,0,0
8640,0,1,0,0,0
8813,0,0,1,0,0
8980,2,4,0,0,0
9485,0,2,0,0,0
9798,0,0,1,0,0
9989,0,1,0,0,0
