id,Manual,NLTK,SS,Alchemy,SNLP
76425,Neutral,neutral,Neutral,neutral,Neutral
76494,Neutral,neutral,Neutral,negative,Negative
76631,Neutral,neg,Positive,negative,Neutral
76643,Neutral,neutral,Neutral,negative,Negative
77011,Neutral,neutral,Positive,negative,Negative
77424,Neutral,neutral,Neutral,neutral,Negative
77849,Neutral,neutral,Neutral,negative,Positive
78211,Neutral,neutral,Neutral,neutral,Neutral
78329,Neutral,neg,Neutral,neutral,Neutral
78759,Positive,pos,Positive,positive,Positive
79211,Neutral,pos,Positive,positive,Positive
79309,Neutral,neutral,Positive,negative,Neutral
80577,Neutral,neutral,Neutral,neutral,Neutral
80738,Negative,neg,Neutral,positive,Negative
81122,Neutral,neutral,Neutral,neutral,Neutral
81230,Neutral,neutral,Neutral,neutral,Negative
81302,Neutral,neutral,Neutral,positive,Negative
